"","Surveillance.Network","Season","MMWR.Year","MMWR.Week","Age.group","Sex","Race.Ethnicity","Site","Weekly.Rate","Cumulative.Rate","Week.Ending.Date"
"44","RSV-NET","2019-20",2019,"52","Overall","Overall","Overall","Overall",2.3,12.5,"2019-12-28T00:00:00.000"
"45","RSV-NET","2019-20",2020,"1","Overall","Overall","Overall","Overall",2.7,15.2,"2020-01-04T00:00:00.000"
"46","RSV-NET","2019-20",2020,"2","Overall","Overall","Overall","Overall",2.1,17.3,"2020-01-11T00:00:00.000"
"47","RSV-NET","2019-20",2020,"3","Overall","Overall","Overall","Overall",1.8,19.2,"2020-01-18T00:00:00.000"
"48","RSV-NET","2019-20",2020,"4","Overall","Overall","Overall","Overall",1.8,21,"2020-01-25T00:00:00.000"
"49","RSV-NET","2019-20",2020,"5","Overall","Overall","Overall","Overall",1.7,22.7,"2020-02-01T00:00:00.000"
"50","RSV-NET","2019-20",2020,"6","Overall","Overall","Overall","Overall",1.5,24.3,"2020-02-08T00:00:00.000"
"51","RSV-NET","2019-20",2020,"7","Overall","Overall","Overall","Overall",1.5,25.7,"2020-02-15T00:00:00.000"
"52","RSV-NET","2019-20",2020,"8","Overall","Overall","Overall","Overall",1.3,27,"2020-02-22T00:00:00.000"
"53","RSV-NET","2019-20",2020,"9","Overall","Overall","Overall","Overall",1,28,"2020-02-29T00:00:00.000"
"54","RSV-NET","2019-20",2020,"10","Overall","Overall","Overall","Overall",1.1,29.1,"2020-03-07T00:00:00.000"
"55","RSV-NET","2019-20",2020,"11","Overall","Overall","Overall","Overall",0.8,29.9,"2020-03-14T00:00:00.000"
"56","RSV-NET","2019-20",2020,"12","Overall","Overall","Overall","Overall",0.6,30.5,"2020-03-21T00:00:00.000"
"57","RSV-NET","2019-20",2020,"13","Overall","Overall","Overall","Overall",0.3,30.8,"2020-03-28T00:00:00.000"
"58","RSV-NET","2019-20",2020,"14","Overall","Overall","Overall","Overall",0.2,31,"2020-04-04T00:00:00.000"
"59","RSV-NET","2019-20",2020,"15","Overall","Overall","Overall","Overall",0.1,31,"2020-04-11T00:00:00.000"
"60","RSV-NET","2019-20",2020,"16","Overall","Overall","Overall","Overall",0,31,"2020-04-18T00:00:00.000"
"61","RSV-NET","2019-20",2020,"17","Overall","Overall","Overall","Overall",0,31,"2020-04-25T00:00:00.000"
"62","RSV-NET","2019-20",2020,"18","Overall","Overall","Overall","Overall",0,31.1,"2020-05-02T00:00:00.000"
"63","RSV-NET","2020-21",2020,"40","Overall","Overall","Overall","Overall",0,0,"2020-10-03T00:00:00.000"
"64","RSV-NET","2020-21",2020,"41","Overall","Overall","Overall","Overall",0,0,"2020-10-10T00:00:00.000"
"65","RSV-NET","2020-21",2020,"42","Overall","Overall","Overall","Overall",0,0,"2020-10-17T00:00:00.000"
"66","RSV-NET","2020-21",2020,"43","Overall","Overall","Overall","Overall",0,0,"2020-10-24T00:00:00.000"
"67","RSV-NET","2020-21",2020,"44","Overall","Overall","Overall","Overall",0,0,"2020-10-31T00:00:00.000"
"68","RSV-NET","2020-21",2020,"45","Overall","Overall","Overall","Overall",0,0,"2020-11-07T00:00:00.000"
"69","RSV-NET","2020-21",2020,"46","Overall","Overall","Overall","Overall",0,0,"2020-11-14T00:00:00.000"
"70","RSV-NET","2020-21",2020,"47","Overall","Overall","Overall","Overall",0,0,"2020-11-21T00:00:00.000"
"71","RSV-NET","2020-21",2020,"48","Overall","Overall","Overall","Overall",0,0,"2020-11-28T00:00:00.000"
"72","RSV-NET","2020-21",2020,"49","Overall","Overall","Overall","Overall",0,0,"2020-12-05T00:00:00.000"
"73","RSV-NET","2020-21",2020,"50","Overall","Overall","Overall","Overall",0,0,"2020-12-12T00:00:00.000"
"74","RSV-NET","2020-21",2020,"51","Overall","Overall","Overall","Overall",0,0.1,"2020-12-19T00:00:00.000"
"75","RSV-NET","2020-21",2020,"52","Overall","Overall","Overall","Overall",0,0.1,"2020-12-26T00:00:00.000"
"76","RSV-NET","2020-21",2020,"53","Overall","Overall","Overall","Overall",0,0.1,"2021-01-02T00:00:00.000"
"77","RSV-NET","2020-21",2021,"1","Overall","Overall","Overall","Overall",0,0.1,"2021-01-09T00:00:00.000"
"78","RSV-NET","2020-21",2021,"2","Overall","Overall","Overall","Overall",0,0.1,"2021-01-16T00:00:00.000"
"79","RSV-NET","2020-21",2021,"3","Overall","Overall","Overall","Overall",0,0.1,"2021-01-23T00:00:00.000"
"80","RSV-NET","2020-21",2021,"4","Overall","Overall","Overall","Overall",0,0.1,"2021-01-30T00:00:00.000"
"81","RSV-NET","2020-21",2021,"5","Overall","Overall","Overall","Overall",0,0.1,"2021-02-06T00:00:00.000"
"82","RSV-NET","2020-21",2021,"6","Overall","Overall","Overall","Overall",0,0.1,"2021-02-13T00:00:00.000"
"83","RSV-NET","2020-21",2021,"7","Overall","Overall","Overall","Overall",0,0.1,"2021-02-20T00:00:00.000"
"84","RSV-NET","2020-21",2021,"8","Overall","Overall","Overall","Overall",0,0.1,"2021-02-27T00:00:00.000"
"85","RSV-NET","2020-21",2021,"9","Overall","Overall","Overall","Overall",0,0.1,"2021-03-06T00:00:00.000"
"86","RSV-NET","2020-21",2021,"10","Overall","Overall","Overall","Overall",0,0.1,"2021-03-13T00:00:00.000"
"87","RSV-NET","2020-21",2021,"11","Overall","Overall","Overall","Overall",0,0.2,"2021-03-20T00:00:00.000"
"88","RSV-NET","2020-21",2021,"12","Overall","Overall","Overall","Overall",0,0.2,"2021-03-27T00:00:00.000"
"89","RSV-NET","2020-21",2021,"13","Overall","Overall","Overall","Overall",0,0.2,"2021-04-03T00:00:00.000"
"90","RSV-NET","2020-21",2021,"14","Overall","Overall","Overall","Overall",0.1,0.3,"2021-04-10T00:00:00.000"
"91","RSV-NET","2020-21",2021,"15","Overall","Overall","Overall","Overall",0,0.3,"2021-04-17T00:00:00.000"
"92","RSV-NET","2020-21",2021,"16","Overall","Overall","Overall","Overall",0,0.3,"2021-04-24T00:00:00.000"
"93","RSV-NET","2020-21",2021,"17","Overall","Overall","Overall","Overall",0.1,0.4,"2021-05-01T00:00:00.000"
"94","RSV-NET","2020-21",2021,"18","Overall","Overall","Overall","Overall",0.1,0.5,"2021-05-08T00:00:00.000"
"95","RSV-NET","2021-22",2021,"40","Overall","Overall","Overall","Overall",0.9,0.9,"2021-10-09T00:00:00.000"
"96","RSV-NET","2021-22",2021,"41","Overall","Overall","Overall","Overall",1,1.9,"2021-10-16T00:00:00.000"
"97","RSV-NET","2021-22",2021,"42","Overall","Overall","Overall","Overall",1,3,"2021-10-23T00:00:00.000"
"98","RSV-NET","2021-22",2021,"43","Overall","Overall","Overall","Overall",1,4,"2021-10-30T00:00:00.000"
"99","RSV-NET","2021-22",2021,"44","Overall","Overall","Overall","Overall",1.1,5.1,"2021-11-06T00:00:00.000"
"100","RSV-NET","2021-22",2021,"45","Overall","Overall","Overall","Overall",1.1,6.3,"2021-11-13T00:00:00.000"
"101","RSV-NET","2021-22",2021,"46","Overall","Overall","Overall","Overall",1.2,7.4,"2021-11-20T00:00:00.000"
"102","RSV-NET","2021-22",2021,"47","Overall","Overall","Overall","Overall",1.1,8.5,"2021-11-27T00:00:00.000"
"103","RSV-NET","2021-22",2021,"48","Overall","Overall","Overall","Overall",1.3,9.7,"2021-12-04T00:00:00.000"
"104","RSV-NET","2021-22",2021,"49","Overall","Overall","Overall","Overall",1.3,11.1,"2021-12-11T00:00:00.000"
"105","RSV-NET","2021-22",2021,"50","Overall","Overall","Overall","Overall",1.2,12.3,"2021-12-18T00:00:00.000"
"106","RSV-NET","2021-22",2021,"51","Overall","Overall","Overall","Overall",1,13.3,"2021-12-25T00:00:00.000"
"107","RSV-NET","2021-22",2021,"52","Overall","Overall","Overall","Overall",1.1,14.4,"2022-01-01T00:00:00.000"
"108","RSV-NET","2021-22",2022,"1","Overall","Overall","Overall","Overall",0.9,15.3,"2022-01-08T00:00:00.000"
"109","RSV-NET","2021-22",2022,"2","Overall","Overall","Overall","Overall",0.5,15.8,"2022-01-15T00:00:00.000"
"110","RSV-NET","2021-22",2022,"3","Overall","Overall","Overall","Overall",0.4,16.2,"2022-01-22T00:00:00.000"
"111","RSV-NET","2021-22",2022,"4","Overall","Overall","Overall","Overall",0.2,16.3,"2022-01-29T00:00:00.000"
"112","RSV-NET","2021-22",2022,"5","Overall","Overall","Overall","Overall",0.2,16.6,"2022-02-05T00:00:00.000"
"113","RSV-NET","2021-22",2022,"6","Overall","Overall","Overall","Overall",0.1,16.7,"2022-02-12T00:00:00.000"
